hostname,device_type,host,username,password,secret,port
FIHEL-LAN-2B2-2 (1),cisco_ios,10.32.192.103,,,,22
FIHEL-LAN-2B2-2 (2),cisco_ios,10.32.192.103,,,,22
FIHEL-FW02,fortinet,10.32.192.122,,,,22
FIHEL-LAN-CMP04,cisco_ios,10.32.192.132,,,,22
FIHEL-LAN-CMP02,cisco_ios,10.32.192.179,,,,22
ARBU3-LAN03.thermofisher.com,cisco_ios,10.162.145.38,,,,22
ARBU3-CS01.thermofisher.com (1),cisco_ios,10.162.212.1,,,,22
ARBU3-CS01.thermofisher.com (2),cisco_ios,10.162.212.1,,,,22
ARBU3-LAN04.thermofisher.com,cisco_ios,10.162.145.39,,,,22
ARBU3-LAN01.thermofisher.com (1),cisco_ios,10.162.212.11,,,,22
ARBU3-LAN01.thermofisher.com (2),cisco_ios,10.162.212.11,,,,22
ARBU3-LAN02.thermofisher.com (1),cisco_ios,10.162.212.12,,,,22
ARBU3-LAN02.thermofisher.com (2),cisco_ios,10.162.212.12,,,,22
ATLIN-CS01.thermofisher.com,arista_eos,10.60.28.2,,,,22
ATLIN-CS02.thermofisher.com,arista_eos,10.60.28.3,,,,22
ATLIN-001-AS-1.thermofisher.com,cisco_ios,10.60.28.234,,,,22
ATLIN-001-AS-2.thermofisher.com (1),cisco_ios,10.60.28.235,,,,22
ATLIN-001-AS-2.thermofisher.com (2),cisco_ios,10.60.28.235,,,,22
ATLIN-001-AS-2.thermofisher.com (3),cisco_ios,10.60.28.235,,,,22
ATLIN-001-AS-3.thermofisher.com (1),cisco_ios,10.60.28.236,,,,22
ATLIN-001-AS-3.thermofisher.com (2),cisco_ios,10.60.28.236,,,,22
ATLIN-001-AS-3.thermofisher.com (3),cisco_ios,10.60.28.236,,,,22
ATLIN-008-AS-1.thermofisher.com (1),cisco_ios,10.60.28.252,,,,22
ATLIN-008-AS-1.thermofisher.com (2),cisco_ios,10.60.28.252,,,,22
ATLIN-008-AS-2.thermofisher.com (1),cisco_ios,10.60.28.134,,,,22
ATLIN-008-AS-2.thermofisher.com (2),cisco_ios,10.60.28.134,,,,22
ATLIN-008-AS-2.thermofisher.com (3),cisco_ios,10.60.28.134,,,,22
ATLIN-008-AS-2.thermofisher.com (4),cisco_ios,10.60.28.134,,,,22
ATLIN-008-AS-3.thermofisher.com (1),cisco_ios,10.60.28.214,,,,22
ATLIN-008-AS-3.thermofisher.com (2),cisco_ios,10.60.28.214,,,,22
ATLIN-008-AS-4.thermofisher.com (1),cisco_ios,10.60.28.209,,,,22
ATLIN-008-AS-4.thermofisher.com (2),cisco_ios,10.60.28.209,,,,22
ATLIN-030-AS-1.thermofisher.com (1),cisco_ios,10.60.28.207,,,,22
ATLIN-030-AS-1.thermofisher.com (2),cisco_ios,10.60.28.207,,,,22
ATLIN-030-AS-2.thermofisher.com,cisco_ios,10.60.28.228,,,,22
ATLIN-039-AS-1.thermofisher.com,cisco_ios,10.60.28.221,,,,22
ATLIN-040-AS-1.thermofisher.com,cisco_ios,10.60.28.140,,,,22
ATLIN-042-AS-1.thermofisher.com,cisco_ios,10.60.28.141,,,,22
ATLIN-045-AS-1.thermofisher.com,cisco_ios,10.60.28.238,,,,22
ATLIN-052-AS-1.thermofisher.com (1),cisco_ios,10.60.28.211,,,,22
ATLIN-052-AS-1.thermofisher.com (2),cisco_ios,10.60.28.211,,,,22
ATLIN-052-AS-2.thermofisher.com,cisco_ios,10.60.28.231,,,,22
ATLIN-052-AS-3.thermofisher.com,cisco_ios,10.60.28.222,,,,22
ATLIN-055-AS-3.thermofisher.com,cisco_ios,10.60.28.155,,,,22
ATLIN-055-AS-4.thermofisher.com (1),cisco_ios,10.60.28.154,,,,22
ATLIN-055-AS-4.thermofisher.com (2),cisco_ios,10.60.28.154,,,,22
ATLIN-056-AS-1.thermofisher.com (1),cisco_ios,10.60.28.136,,,,22
ATLIN-056-AS-1.thermofisher.com (2),cisco_ios,10.60.28.136,,,,22
ATLIN-062-AS-1.thermofisher.com (1),cisco_ios,10.60.28.137,,,,22
ATLIN-062-AS-1.thermofisher.com (2),cisco_ios,10.60.28.137,,,,22
ATLIN-070-AS-2.thermofisher.com (1),cisco_ios,10.60.28.249,,,,22
ATLIN-070-AS-2.thermofisher.com (2),cisco_ios,10.60.28.249,,,,22
ATLIN-070-AS-2.thermofisher.com (3),cisco_ios,10.60.28.249,,,,22
ATLIN-070-AS-3.thermofisher.com (1),cisco_ios,10.60.28.248,,,,22
ATLIN-070-AS-3.thermofisher.com (2),cisco_ios,10.60.28.248,,,,22
ATLIN-070-AS-3.thermofisher.com (3),cisco_ios,10.60.28.248,,,,22
ATLIN-070-AS-4.thermofisher.com (1),cisco_ios,10.60.28.250,,,,22
ATLIN-070-AS-4.thermofisher.com (2),cisco_ios,10.60.28.250,,,,22
ATLIN-070-AS-4.thermofisher.com (3),cisco_ios,10.60.28.250,,,,22
ATLIN-070-AS-5.thermofisher.com,cisco_ios,10.60.28.246,,,,22
ATLIN-700-AS-2.thermofisher.com,cisco_ios,10.60.28.229,,,,22
ATLIN-062Cont-AS-1,cisco_ios,10.60.28.135,,,,22
ATLIN-701-AS-1.thermofisher.com,cisco_ios,10.60.28.251,,,,22
ATLIN-709-AS-1.thermofisher.com,cisco_ios,10.60.28.199,,,,22
ATLIN-CS-EXT-01.thermofisher.com,cisco_ios,10.60.28.132,,,,22
ATLIN-CS-EXT-02.thermofisher.com,cisco_ios,10.60.28.133,,,,22
ATLIN-070-AS-7.thermofisher.com,cisco_ios,10.60.28.243,,,,22
ATLIN-070-AS-8.thermofisher.com,cisco_ios,10.60.28.156,,,,22
ATLIN-AS-APSTAGING-01.thermofisher.com,cisco_ios,10.60.28.201,,,,22
a-dsm12,cisco_ios,172.23.30.12,,,,22
ATLIN-070-AS-6.thermofisher.com,cisco_ios,10.60.28.247,,,,22
ATLIN-WLC01,cisco_ios,10.60.28.10,,,,22
ATVI5-LAN01.thermofisher.com (3),cisco_ios,10.112.72.1,,,,22
ATVI5-LAN01.thermofisher.com (4),cisco_ios,10.112.72.1,,,,22
ATVI5-LAN01.thermofisher.com (1),cisco_ios,10.112.72.1,,,,22
ATVI5-LAN01.thermofisher.com (2),cisco_ios,10.112.72.1,,,,22
ATVI5-LAN02.thermofisher.com (1),cisco_ios,10.112.72.2,,,,22
ATVI5-LAN02.thermofisher.com (2),cisco_ios,10.112.72.2,,,,22
ATVI5-LAN02.thermofisher.com (3),cisco_ios,10.112.72.2,,,,22
ATVI5-LAN03.thermofisher.com (1),cisco_ios,10.112.72.3,,,,22
ATVI5-LAN03.thermofisher.com (2),cisco_ios,10.112.72.3,,,,22
ATVIE-LAN01.thermofisher.com (1),cisco_ios,10.112.136.33,,,,22
ATVIE-LAN01.thermofisher.com (2),cisco_ios,10.112.136.33,,,,22
ATVIE-LAN01.thermofisher.com (3),cisco_ios,10.112.136.33,,,,22
ATVIE-LAN02.thermofisher.com,cisco_ios,10.112.136.34,,,,22
AUADL-LAN01.thermofisher.com,cisco_ios,10.71.2.221,,,,22
AUADL-LAN02.thermofisher.com,cisco_ios,10.71.2.20,,,,22
AUADL-LAN04.thermofisher.com,cisco_ios,10.71.2.21,,,,22
AUADL-LAN05.thermofisher.com,cisco_ios,10.71.2.22,,,,22
AUADL-LAN07.thermofisher.com (1),cisco_ios,10.71.2.24,,,,22
AUADL-LAN07.thermofisher.com (2),cisco_ios,10.71.2.24,,,,22
AUADL-LAN08.thermofisher.com (1),cisco_ios,10.71.2.25,,,,22
AUADL-LAN08.thermofisher.com (2),cisco_ios,10.71.2.25,,,,22
AUADL-LAN08.thermofisher.com (3),cisco_ios,10.71.2.25,,,,22
AUADL-MGCP-RTR,cisco_ios,10.71.0.2,,,,22
AUBRI-6F-AS-01.thermofisher.com (1),cisco_ios,10.60.15.16,,,,22
AUBRI-4F-AS-01.thermofisher.com,cisco_ios,10.60.15.14,,,,22
AUBRI-1F-AS-01.thermofisher.com,cisco_ios,10.60.15.13,,,,22
AUBRI-4F-AS-02.thermofisher.com,cisco_ios,10.60.15.15,,,,22
AUBRI-3F-AS-01.thermofisher.com,cisco_ios,10.60.15.22,,,,22
AUBRI-TOR01,arista_eos,10.60.15.50,,,,22
AUBRI-TOR02,arista_eos,10.60.15.51,,,,22
AUMAL-CS01.thermofisher.com,cisco_ios,10.70.7.145,,,,22
AUNCS-LAN02.thermofisher.com,cisco_ios,10.70.138.34,,,,22
AUNCS-CS01.thermofisher.com,cisco_ios,10.70.138.33,,,,22
AUNRT-LAN01.thermofisher.com (1),cisco_ios,10.70.9.146,,,,22
AUNRT-LAN01.thermofisher.com (2),cisco_ios,10.70.9.146,,,,22
AUNRT-LAN01.thermofisher.com (3),cisco_ios,10.70.9.146,,,,22
AUSCO-CS-02.thermofisher.com,arista_eos,10.70.3.172,,,,22
AUSCO-LAN01.thermofisher.com (1),cisco_ios,10.70.3.165,,,,22
AUSCO-LAN01.thermofisher.com (2),cisco_ios,10.70.3.165,,,,22
AUSCO-LAN01.thermofisher.com (3),cisco_ios,10.70.3.165,,,,22
AUSCO-LAN01.thermofisher.com (4),cisco_ios,10.70.3.165,,,,22
AUSCO-LAN01.thermofisher.com (5),cisco_ios,10.70.3.165,,,,22
AUSCO-LAN01.thermofisher.com (6),cisco_ios,10.70.3.165,,,,22
AUSCO-AU-DMVPN01.dmvpn.thermo.com,cisco_ios,10.255.140.1,,,,22
AUTOL-CS01.thermofisher.com,cisco_ios,10.70.15.1,,,,22
BEGEL-LAN12,cisco_ios,10.140.10.154,,,,22
BEGEL-LAN11,cisco_ios,10.140.10.153,,,,22
BEGEL-LAN09,cisco_ios,10.140.10.151,,,,22
BEGEL-LAN10,cisco_ios,10.140.10.152,,,,22
BEGEL-CS01 (1),cisco_ios,10.140.10.65,,,,22
BEGEL-CS01 (2),cisco_ios,10.140.10.65,,,,22
BEGEL-CS01 (3),cisco_ios,10.140.10.65,,,,22
BEGEL-CS01 (4),cisco_ios,10.140.10.65,,,,22
BEGEL-LAN-CMP04,cisco_ios,10.140.10.114,,,,22
BEGEL-LAN-CMP02,cisco_ios,10.140.10.112,,,,22
BEGEL-LAN-CMP03,cisco_ios,10.140.10.113,,,,22
BEGEL-LAN-CMP12,cisco_ios,10.140.10.158,,,,22
BEGEL-LAN-CMP06,cisco_ios,10.140.10.66,,,,22
BEGEL-LAN-CMP15,cisco_ios,10.140.10.141,,,,22
BEGEL-LAN-CMP05,cisco_ios,10.140.10.116,,,,22
BEGEL-LAN-CMP14,cisco_ios,10.140.10.136,,,,22
BEGEL-LAN-CMP11,cisco_ios,10.140.10.157,,,,22
BEGEL-LAN-CMP18,cisco_ios,10.140.10.138,,,,22
BEGEL-LAN-CMP17,cisco_ios,10.140.10.139,,,,22
BEGEL-LAN-CMP13,cisco_ios,10.140.10.124,,,,22
BEGEL-LAN-CMP16,cisco_ios,10.140.10.140,,,,22
BEGEL-LAN-CMP01,cisco_ios,10.140.10.111,,,,22
BEGEL-LAN-CMP07,cisco_ios,10.140.10.67,,,,22
BEGEL-LAN-CMP10,cisco_ios,10.140.10.156,,,,22
BEGEL-LAN-CMP09,cisco_ios,10.140.10.155,,,,22
BEGEL-LAN-CMP08,cisco_ios,10.140.10.68,,,,22
BEGEL-LAN13 (1),cisco_ios,10.140.10.143,,,,22
BEGEL-LAN13 (2),cisco_ios,10.140.10.143,,,,22
BEGEL-LAN14,cisco_ios,10.140.10.142,,,,22
BEGEL-LAN01 (1),cisco_ios,10.140.10.150,,,,22
BEGEL-LAN01 (2),cisco_ios,10.140.10.150,,,,22
BEGEL-LAN02 (1),cisco_ios,10.140.10.149,,,,22
BEGEL-LAN02 (2),cisco_ios,10.140.10.149,,,,22
BEGEL-LAN03 (1),cisco_ios,10.140.10.148,,,,22
BEGEL-LAN03 (2),cisco_ios,10.140.10.148,,,,22
BEGEL-LAN04 (1),cisco_ios,10.140.10.147,,,,22
BEGEL-LAN04 (2),cisco_ios,10.140.10.147,,,,22
BEGEL-LAN05 (1),cisco_ios,10.140.10.146,,,,22
BEGEL-LAN05 (2),cisco_ios,10.140.10.146,,,,22
BEGEL-LAN07,cisco_ios,10.140.10.144,,,,22
BEGEL-LAN06,cisco_ios,10.140.10.145,,,,22
BEGOS-CS01,arista_eos,10.132.77.2,,,,22
BEGOS-CS02,arista_eos,10.132.77.3,,,,22
BEGOS-LAN01 (1),cisco_ios,10.132.77.11,,,,22
BEGOS-LAN01 (2),cisco_ios,10.132.77.11,,,,22
BEGOS-LAN01 (3),cisco_ios,10.132.77.11,,,,22
BEGOS-LAN01 (4),cisco_ios,10.132.77.11,,,,22
BEGOS-LAN02,cisco_ios,10.132.77.12,,,,22
BEGOS-LAN03 (1),cisco_ios,10.132.77.13,,,,22
BEGOS-LAN03 (2),cisco_ios,10.132.77.13,,,,22
BEGOS-LAN04 (1),cisco_ios,10.132.77.14,,,,22
BEGOS-LAN04 (2),cisco_ios,10.132.77.14,,,,22
BEGOS-LAN05,cisco_ios,10.132.77.15,,,,22
BESEN02-CS01 (1),cisco_ios,10.116.160.1,,,,22
BEMER-LAN01,cisco_ios,10.112.172.33,,,,22
BEMER-LAN02 (1),cisco_ios,10.112.172.34,,,,22
BEMER-LAN02 (2),cisco_ios,10.112.172.34,,,,22
BESEN-CS01,arista_eos,10.132.70.2,,,,22
BESEN-CS02,arista_eos,10.132.70.3,,,,22
BESEN-LAN01 (1),cisco_ios,10.132.70.10,,,,22
BESEN-LAN01 (2),cisco_ios,10.132.70.10,,,,22
BESEN-LAN01 (3),cisco_ios,10.132.70.10,,,,22
BESEN-LAN02 (1),cisco_ios,10.132.70.11,,,,22
BESEN-LAN02 (2),cisco_ios,10.132.70.11,,,,22
BESEN-LAN13,cisco_ios,10.132.70.22,,,,22
BESEN-LAN14,cisco_ios,10.132.70.23,,,,22
BESEN-LAN07 (1),cisco_ios,10.132.70.16,,,,22
BESEN-LAN07 (2),cisco_ios,10.132.70.16,,,,22
BESEN-LAN07 (3),cisco_ios,10.132.70.16,,,,22
BESEN-LAN08 (1),cisco_ios,10.132.70.17,,,,22
BESEN-LAN08 (2),cisco_ios,10.132.70.17,,,,22
BESEN-LAN08 (3),cisco_ios,10.132.70.17,,,,22
BESEN-LAN09,cisco_ios,10.132.70.18,,,,22
BESEN-LAN10 (2),cisco_ios,10.132.70.19,,,,22
BRITA-AS-ITARO-1,cisco_ios,10.39.10.65,,,,22
BRSP2-LAN03,cisco_ios,10.160.126.35,,,,22
BRSP2-LAN04,cisco_ios,10.160.126.36,,,,22
BRSP2-LAN02,cisco_ios,10.160.126.34,,,,22
BRSP2-CS01 (1),cisco_ios,10.160.126.33,,,,22
BRSP2-CS01 (2),cisco_ios,10.160.126.33,,,,22
BRSP8-DC-AS01 (1),cisco_ios,10.154.32.130,,,,22
BRSP8-DC-AS01 (2),cisco_ios,10.154.32.130,,,,22
BRSP8-DC-AS01 (3),cisco_ios,10.154.32.130,,,,22
BRSP8-DC-AS01 (4),cisco_ios,10.154.32.130,,,,22
BRSP8-DC-AS01 (5),cisco_ios,10.154.32.130,,,,22
BRSP8-EC-AS01,cisco_ios,10.154.32.132,,,,22
BRSP8-DC-CS01 (1),cisco_ios,10.154.32.129,,,,22
BRSP8-DC-CS01 (2),cisco_ios,10.154.32.129,,,,22
CABU3-LAN01 (1),cisco_ios,10.158.0.81,,,,22
CABU3-LAN01 (2),cisco_ios,10.158.0.81,,,,22
CABU3-LAN01 (3),cisco_ios,10.158.0.81,,,,22
CABU3-LAN01 (4),cisco_ios,10.158.0.81,,,,22
CABU3-LAN01 (5),cisco_ios,10.158.0.81,,,,22
CABU3-LAN01 (6),cisco_ios,10.158.0.81,,,,22
CABU3-LAN01 (7),cisco_ios,10.158.0.81,,,,22
CABU3-LAN01 (8),cisco_ios,10.158.0.81,,,,22
CABU3-LAN02,cisco_ios,10.158.0.82,,,,22
CABU3-LAN03 (1),cisco_ios,10.158.0.85,,,,22
CABU3-LAN03 (2),cisco_ios,10.158.0.85,,,,22
CABU3-CS01 (1),cisco_ios,10.158.0.65,,,,22
CABU3-CS01 (2),cisco_ios,10.158.0.65,,,,22
CAMAR-CORE01 (1),cisco_ios,10.160.85.1,,,,22
CAMAR-CORE01 (2),cisco_ios,10.160.85.1,,,,22
CAMI1-M-TOR01,arista_eos,10.40.54.241,,,,22
CAMI1-AS-M-234 (1),cisco_ios,10.40.54.234,,,,22
CAMI1-AS-M-234 (2),cisco_ios,10.40.54.234,,,,22
CAMI1-AS-M-233,cisco_ios,10.40.54.233,,,,22
CAMI1-AS-M-237,cisco_ios,10.40.54.237,,,,22
CAMI1-AS-M-232,cisco_ios,10.40.54.232,,,,22
CAMI1-AS-M-236,cisco_ios,10.40.54.236,,,,22
CAMI1-AS-M-238,cisco_ios,10.40.54.238,,,,22
CAMI1-AS-M-239,cisco_ios,10.40.54.239,,,,22
CAMI1-AS-M-235,cisco_ios,10.40.54.235,,,,22
CAMI1-AS-M-231,cisco_ios,10.40.54.231,,,,22
CAMI1-AS-SER-01 (2),cisco_ios,10.40.67.31,,,,22
CAMI1-AS-SER-01 (1),cisco_ios,10.40.67.31,,,,22
CAMI1-CS-M-Mez6 (1),cisco_ios,10.40.54.230,,,,22
CAMI1-CS-M-Mez6 (2),cisco_ios,10.40.54.230,,,,22
CAMI1-LAN02,cisco_ios,10.40.67.12,,,,22
CAMI1-LAN03,cisco_ios,10.40.67.13,,,,22
CAMI1-LAN04,cisco_ios,10.40.67.14,,,,22
CAMI1-LAN05,cisco_ios,10.40.67.15,,,,22
CAMI1-LAN06,cisco_ios,10.40.67.16,,,,22
CAMI1-LAN07,cisco_ios,10.40.67.17,,,,22
CAMI1-LAN12-01 (1),cisco_ios,10.40.67.20,,,,22
CAMI1-LAN09,cisco_ios,10.40.67.19,,,,22
CAMI1-LAN08,cisco_ios,10.40.67.18,,,,22
CAMI1-LAN11-01 (1),cisco_ios,10.40.67.21,,,,22
CAMIS-LAN01,cisco_ios,10.164.224.68,,,,22
CAMIS-CORE01,cisco_ios,10.164.224.1,,,,22
CAMIS-LAN02,cisco_ios,10.20.25.12,,,,22
CAON2-MPLS01,cisco_ios,10.160.83.196,,,,22
CANEP-WLC01,cisco_ios,10.160.83.240,,,,22
CANEP-LAN01 (1),cisco_ios,10.160.83.245,,,,22
CANEP-LAN01 (2),cisco_ios,10.160.83.245,,,,22
CANEP-LAN01 (3),cisco_ios,10.160.83.245,,,,22
CANEP-LAN01 (4),cisco_ios,10.160.83.245,,,,22
CANEP-LAN01 (5),cisco_ios,10.160.83.245,,,,22
CANEP-LAN01 (6),cisco_ios,10.160.83.245,,,,22
CANEP-LAN01 (7),cisco_ios,10.160.83.245,,,,22
CANEP-LAN02 (1),cisco_ios,10.160.83.246,,,,22
CANEP-LAN02 (2),cisco_ios,10.160.83.246,,,,22
CANEP-LAN02 (3),cisco_ios,10.160.83.246,,,,22
CANEP-LAN03 (1),cisco_ios,10.160.83.247,,,,22
CANEP-LAN03 (2),cisco_ios,10.160.83.247,,,,22
CANEP-CS01 (1),cisco_ios,10.160.82.1,,,,22
CANEP-CS01 (2),cisco_ios,10.160.82.1,,,,22
CAWHI-LAN01,cisco_ios,10.160.111.66,,,,22
CAWIT-M-AS237,cisco_ios,10.169.106.237,,,,22
CAWIT-LAN-18B (4),cisco_ios,10.169.114.11,,,,22
CAWIT-LAN-18B (2),cisco_ios,10.169.114.17,,,,22
CAWIT-LAN03,cisco_ios,10.169.114.13,,,,22
CAWIT-LAN-18A (1),cisco_ios,10.169.114.14,,,,22
CAWIT-LAN-18B (1),cisco_ios,10.169.114.16,,,,22
CAWIT-LAN08,cisco_ios,10.169.114.18,,,,22
CAWIT-LAN-20,cisco_ios,10.169.96.39,,,,22
CHALL-001-MINI-01,cisco_ios,10.32.40.142,,,,22
CHALL-TOR01,cisco_ios,10.156.1.76,,,,22
CHALL-WLC02-9800,cisco_ios,10.156.1.68,,,,22
DERHE-AS21,cisco_ios,10.113.224.9,,,,22
CHALL-9-AS-2F-01,cisco_ios,10.32.40.130,,,,22
CHALL-118-AS-2F-02,cisco_ios,10.113.40.3,,,,22
CHECU-LAN09 (1),cisco_ios,10.33.56.139,,,,22
CHECU-LAN09 (2),cisco_ios,10.33.56.139,,,,22
CHECU-LAN09 (3),cisco_ios,10.33.56.139,,,,22
CHECU-CS01 (2),cisco_ios,10.33.56.129,,,,22
CHECU-LAN01 (1),cisco_ios,10.209.72.30,,,,22
CHECU-LAN01 (2),cisco_ios,10.209.72.30,,,,22
CHECU-LAN01 (3),cisco_ios,10.209.72.30,,,,22
CHECU-LAN02,cisco_ios,10.209.72.31,,,,22
CHECU-LAN03 (1),cisco_ios,10.209.72.32,,,,22
CHECU-LAN03 (2),cisco_ios,10.209.72.32,,,,22
CHECU-LAN06 (1),cisco_ios,10.33.56.130,,,,22
CHECU-LAN06 (2),cisco_ios,10.33.56.130,,,,22
CHECU-LAN08 (1),cisco_ios,10.209.72.37,,,,22
CHECU-LAN08 (2),cisco_ios,10.209.72.37,,,,22
CHECU-WLC01,cisco_ios,10.209.72.40,,,,22
CHECU-FW01,fortinet,10.209.72.5,,,,22
CHLEN-A-LAN03,cisco_ios,10.29.247.4,,,,22
CHLEN-A-LAN04,cisco_ios,10.29.247.5,,,,22
CHLEN-A-LAN02,cisco_ios,10.29.247.2,,,,22
CHLEN-A-LAN08 (1),cisco_ios,10.29.247.31,,,,22
CHLEN-A-LAN08 (2),cisco_ios,10.29.247.31,,,,22
EUCHLGNSIM,cisco_ios,10.29.247.21,,,,22
EUCHLGNSIM2,cisco_ios,10.29.247.22,,,,22
LGN-TF-Mgmt,cisco_ios,10.29.1.2,,,,22
LGN-TF-Core (1),cisco_ios,10.29.0.253,,,,22
LGN-TF-Core (2),cisco_ios,10.29.0.253,,,,22
CHLEN-A-LAN06,cisco_ios,10.29.247.7,,,,22
LGN000AASW513,cisco_ios,10.29.247.113,,,,22
LGN000AASW509,cisco_ios,10.29.247.109,,,,22
LGN000AASW510,cisco_ios,10.29.247.110,,,,22
LGN000DASW511,cisco_ios,10.29.247.111,,,,22
LGN000AASW505,cisco_ios,10.29.247.105,,,,22
LGN000AASW508,cisco_ios,10.29.247.108,,,,22
LGN000AASW507,cisco_ios,10.29.247.107,,,,22
LGN000AASW504,cisco_ios,10.29.247.104,,,,22
LGN000AASW503,cisco_ios,10.29.247.103,,,,22
LGN000AASW500,cisco_ios,10.29.247.100,,,,22
LGN000AASW501,cisco_ios,10.29.247.101,,,,22
LGN000AASW502,cisco_ios,10.29.247.102,,,,22
LGN000AASW506,cisco_ios,10.29.247.106,,,,22
CHREI-LAN08,cisco_ios,10.210.154.16,,,,22
CHREI-LAN01 (1),cisco_ios,10.32.4.33,,,,22
CHREI-LAN01 (2),cisco_ios,10.32.4.33,,,,22
CHREI-LAN01 (3),cisco_ios,10.32.4.33,,,,22
CHREI-LAN01 (4),cisco_ios,10.32.4.33,,,,22
CHREI-LAN02,cisco_ios,10.210.154.11,,,,22
CHREI-LAN07,cisco_ios,10.210.154.10,,,,22
CHREI-LAN04,cisco_ios,10.33.30.7,,,,22
CHREI-LAN06,cisco_ios,10.210.154.7,,,,22
CNBJ1-CS01 (1),cisco_ios,10.68.159.129,,,,22
CNBJ1-CS01 (2),cisco_ios,10.68.159.129,,,,22
CNBJ1-CS01 (3),cisco_ios,10.68.159.129,,,,22
CNBJ1-CS01 (4),cisco_ios,10.68.159.129,,,,22
CNBJ1-LAN01,cisco_ios,10.68.159.130,,,,22
CNBJ1-ECV-01,generic,10.255.202.20,,,,22
CNBJ2-CS01 (1),cisco_ios,10.68.0.65,,,,22
CNBJ2-CS01 (2),cisco_ios,10.68.0.65,,,,22
CNBJ7-CS01,cisco_ios,10.68.162.65,,,,22
CNBJ7-LAN01,cisco_ios,10.68.162.66,,,,22
CNBJ7-LAN02,cisco_ios,10.68.162.67,,,,22
CNBJO-LAN06 (1),cisco_ios,10.69.32.135,,,,22
CNBJO-LAN06 (2),cisco_ios,10.69.32.135,,,,22
CNBJO-LAN02 (1),cisco_ios,10.69.32.131,,,,22
CNBJO-LAN02 (2),cisco_ios,10.69.32.131,,,,22
CNBJO-LAN07,cisco_ios,10.69.32.136,,,,22
CNBJO-LAN03 (1),cisco_ios,10.69.32.132,,,,22
CNBJO-LAN03 (2),cisco_ios,10.69.32.132,,,,22
CNBJO-LAN04 (1),cisco_ios,10.69.32.133,,,,22
CNBJO-LAN04 (2),cisco_ios,10.69.32.133,,,,22
CNBJO-LAN05 (1),cisco_ios,10.69.32.134,,,,22
CNBJO-CS01 (1),cisco_ios,10.69.32.129,,,,22
CNBJO-CS01 (2),cisco_ios,10.69.32.129,,,,22
CNBJO-ECV-01,generic,10.255.202.27,,,,22
CNCD1-CS01,cisco_ios,10.68.30.17,,,,22
CNCD1-ECV-01,generic,10.255.202.5,,,,22
CNCD2-CS01 (1),cisco_ios,10.68.20.33,,,,22
CNCD2-CS01 (2),cisco_ios,10.68.20.33,,,,22
CNCD2-ECV-01,generic,10.255.202.52,,,,22
CNCDO-LAN01 (1),cisco_ios,10.68.152.65,,,,22
CNCDO-LAN01 (2),cisco_ios,10.68.152.65,,,,22
CNCDO-ECV-01,generic,10.255.202.29,,,,22
CNGZ1-LAN01 (1),cisco_ios,10.69.0.66,,,,22
CNGZ1-LAN01 (2),cisco_ios,10.69.0.66,,,,22
CNGZ1-LAN01 (3),cisco_ios,10.69.0.66,,,,22
